236	364	279	364
236	364	279	364
236	364	278	364
236	364	279	364
236	363	280	363
235	363	278	363
236	364	279	364
235	364	278	364
235	363	278	363
235	364	279	364
235	364	279	364
236	364	280	364
235	363	278	363
235	363	278	363
235	363	278	363
237	364	280	364
236	363	279	363
236	364	279	364
236	364	278	364
235	364	278	364
236	364	279	364
235	364	278	364
236	363	279	363
236	364	278	364
235	363	278	363
236	364	279	364
236	363	279	363
236	364	279	364
236	363	279	363
236	363	279	363
236	364	279	364
236	364	279	364
235	363	278	363
235	364	278	364
235	364	278	364
236	364	279	364
236	363	280	363
235	364	278	364
236	364	280	364
236	364	279	364
236	363	279	363
236	364	280	364
236	364	279	364
235	363	278	363
236	364	280	364
236	364	278	364
235	364	278	364
236	364	279	364
236	363	279	363
236	364	279	364
235	363	278	363
235	363	278	363
236	363	279	363
236	364	279	364
236	364	279	364
235	364	278	364
236	364	279	364
236	364	279	364
235	364	278	364
236	364	279	364
235	364	278	364
236	363	279	363
236	363	280	363
236	363	279	363
236	364	279	364
236	364	279	364
235	364	278	364
236	364	279	364
235	363	278	363
236	364	278	364
235	363	278	363
235	364	278	364
235	363	278	363
235	364	278	364
236	364	279	364
235	364	278	364
235	363	278	363
236	364	278	364
236	364	279	364
235	364	278	364
235	364	278	364
236	364	279	364
236	364	279	364
236	363	279	363
236	364	279	364
236	363	280	363
235	363	278	363
236	364	279	364
236	364	279	364
236	364	278	364
236	364	279	364
235	363	278	363
236	364	279	364
236	364	280	364
237	364	280	364
236	364	279	364
236	364	279	364
236	364	279	364
236	363	280	363
235	364	278	364
236	364	279	364
235	364	278	364
235	363	279	363
235	364	278	364
236	364	279	364
235	363	278	363
236	364	278	364
235	363	278	363
236	364	279	364
235	364	278	364
236	363	279	363
235	363	279	363
235	363	278	363
236	364	279	364
236	364	279	364
236	363	279	363
236	364	279	364
235	364	278	364
236	364	280	364
236	364	279	364
236	364	279	364
237	364	280	364
236	364	279	364
236	363	279	363
236	364	279	364
236	363	280	363
236	364	279	364
236	364	279	364
235	364	278	364
236	364	279	364
236	364	279	364
236	364	279	364
236	363	279	363
236	364	279	364
235	364	278	364
236	364	279	364
236	363	280	363
237	364	280	364
236	364	279	364
236	363	280	363
236	364	279	364
235	364	279	364
236	363	280	363
235	363	279	363
235	364	279	364
236	363	279	363
236	364	279	364
236	364	279	364
236	363	279	363
235	363	278	363
235	363	278	363
236	364	279	364
236	364	279	364
236	364	280	364
236	363	280	363
236	364	279	364
236	364	279	364
236	363	279	363
236	364	280	364
235	364	278	364
236	364	279	364
236	364	279	364
236	364	279	364
236	364	278	364
236	364	279	364
235	363	278	363
236	364	279	364
235	364	278	364
236	364	280	364
236	364	279	364
236	364	279	364
